400	418
0	103
1	304
2	390
4	108
4	224
4	329
5	361
6	143
6	205
7	102
8	64
8	202
8	218
9	76
9	95
10	311
12	388
13	251
13	275
13	355
14	196
15	69
15	334
16	391
17	50
18	223
18	244
18	317
19	59
19	83
19	396
22	183
22	219
24	153
24	192
26	272
27	73
27	110
27	344
27	352
28	362
31	191
31	253
31	320
31	335
31	343
32	123
32	217
33	174
33	230
33	322
34	62
35	113
35	301
35	390
36	227
36	257
37	55
37	233
37	266
37	290
37	371
37	390
38	43
38	251
38	352
40	73
40	216
40	288
41	47
41	133
41	264
41	294
41	376
42	149
42	243
42	316
43	338
43	352
44	184
44	367
46	99
46	133
47	179
47	232
48	58
48	78
48	199
48	273
49	57
49	200
49	213
50	115
51	340
52	136
52	390
53	122
53	184
53	321
54	191
54	397
55	180
56	71
56	94
56	290
56	382
57	151
58	83
58	314
60	341
60	389
61	173
61	298
61	345
62	142
63	219
63	295
65	228
66	187
66	248
66	310
66	362
66	375
67	199
67	276
68	74
69	185
69	229
69	269
71	281
72	140
74	238
75	184
75	372
76	285
76	345
76	389
77	195
77	310
77	344
77	369
78	288
78	292
78	388
79	269
79	287
79	388
81	267
82	195
82	334
83	221
83	346
84	260
84	371
85	121
85	340
85	360
86	210
86	217
88	192
88	332
89	360
90	275
90	283
92	390
93	246
95	125
95	193
95	343
96	118
96	199
96	210
96	253
96	260
97	127
97	367
98	203
98	240
99	170
99	295
100	319
103	242
103	289
104	233
105	361
108	215
109	132
109	251
110	243
110	263
110	331
111	354
112	130
112	253
113	357
114	131
114	320
114	368
115	173
115	349
116	221
116	286
116	394
117	274
118	209
118	364
119	151
119	252
121	168
123	126
123	152
123	220
123	321
124	186
124	377
126	338
127	183
127	198
128	310
129	256
129	386
130	173
132	149
133	362
133	381
133	387
134	214
135	271
137	225
139	344
141	279
142	201
143	150
144	289
144	353
145	303
145	342
146	259
146	304
146	399
147	309
147	319
148	370
149	337
149	362
150	248
152	189
153	188
156	223
156	266
156	269
156	308
157	209
157	320
157	332
158	234
158	303
159	234
159	361
159	378
160	208
160	358
160	384
161	250
162	376
164	198
166	186
166	373
166	398
167	194
169	295
169	327
170	199
174	234
174	346
175	256
175	324
175	384
178	235
180	225
180	339
181	252
181	305
182	198
182	270
183	217
185	209
186	237
186	384
188	262
189	217
189	231
190	287
193	199
194	327
195	212
195	313
197	243
197	272
197	277
197	292
198	271
199	322
202	275
202	331
202	392
203	214
205	214
205	250
209	311
211	265
212	356
213	273
214	313
218	317
219	321
220	296
222	320
226	369
229	277
231	316
231	387
232	290
233	297
234	269
236	242
237	255
238	379
239	261
241	379
242	296
242	357
243	314
244	297
245	321
245	358
245	393
246	294
247	307
248	349
248	379
249	275
250	296
252	333
253	304
255	322
256	287
257	280
258	294
261	317
263	391
266	298
266	393
267	294
267	387
269	360
270	353
270	365
273	301
273	323
274	304
274	332
274	346
275	343
275	365
279	380
283	296
285	344
286	328
287	295
287	395
288	340
289	313
289	315
289	365
290	346
291	294
291	311
295	306
297	346
299	394
300	320
300	389
307	362
309	312
313	368
314	355
316	318
317	399
319	367
319	374
320	381
325	345
329	352
330	364
330	378
332	396
338	346
339	399
348	351
349	394
349	398
349	399
351	364
352	371
352	389
354	375
355	356
355	366
355	384
358	364
358	371
360	384
361	398
364	377
383	384
385	399
386	394
